,user,date,text,hashtags,is_retweet,favourites,retweets,source,geo
0,netpol,Wed Mar 17 17:43:20 +0000 2021,1/ Met Deputy Chief Stephen House today criticised @SistersUncut and the #SarahEverard vigil for sharing what to do… https://t.co/UoG2HpvfK5,SarahEverard,False,195,183,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",
1,AamerAnwar,Thu Mar 18 11:25:27 +0000 2021,"The actions of the Tories, attacks on women at #Clapham, 118 women murdered by men in the last year, acceptance by… https://t.co/0oxcMVoZAO",Clapham,False,165,66,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
2,BethRigby,Thu Mar 18 13:40:39 +0000 2021,"Up in Edinburgh today talking to @Keir_Starmer about #SarahEverard &amp; what needs to change, the Covid public inquiry… https://t.co/0KUi7CP5Wq",SarahEverard,False,329,52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
3,LenNicholson,Fri Mar 19 11:36:24 +0000 2021,"@Jeni84977722 The danger is that #pritipatel has simply been clever enough to delay until April, when the tragedy of #Sa…",pritipatel,False,0,3,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
4,nwethantthant,Fri Mar 19 11:36:17 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,738,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
5,erecamargot,Fri Mar 19 11:36:08 +0000 2021,This may save a life. Please retweet and share this everywhere.  #shewaswalkinghome #SarahEverard #CurfewForwomen #curfe…,shewaswalkinghome SarahEverard CurfewForwomen,False,0,750,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
6,TnyeinK,Fri Mar 19 11:36:07 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,738,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
7,erecamargot,Fri Mar 19 11:35:47 +0000 2021,"Her name was Sarah and she deserved to be able to walk home that night. It was her right. 

#notallmenbutallwomen 

#Sa…",notallmenbutallwomen,False,0,99,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
8,CicelyMcWilliam,Fri Mar 19 11:35:38 +0000 2021,Waking up early to chat on a couple of CBC radio shows about the week that was a month from the #CallItFemicide report…,CallItFemicide,False,0,7,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
9,YuNandar8874312,Fri Mar 19 11:35:38 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,738,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
10,netpol,Wed Mar 17 17:43:20 +0000 2021,1/ Met Deputy Chief Stephen House today criticised @SistersUncut and the #SarahEverard vigil for sharing what to do… https://t.co/UoG2HpvfK5,SarahEverard,False,195,183,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",
11,AamerAnwar,Thu Mar 18 11:25:27 +0000 2021,"The actions of the Tories, attacks on women at #Clapham, 118 women murdered by men in the last year, acceptance by… https://t.co/0oxcMVoZAO",Clapham,False,165,66,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
12,BethRigby,Thu Mar 18 13:40:39 +0000 2021,"Up in Edinburgh today talking to @Keir_Starmer about #SarahEverard &amp; what needs to change, the Covid public inquiry… https://t.co/0KUi7CP5Wq",SarahEverard,False,329,52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
13,erecamargot,Fri Mar 19 11:37:19 +0000 2021,"How about we stop telling girls / women how to act, what not to wear, and what to do to prevent them being attacked, and in…",,False,0,99,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
14,LenNicholson,Fri Mar 19 11:36:24 +0000 2021,"@Jeni84977722 The danger is that #pritipatel has simply been clever enough to delay until April, when the tragedy of #Sa…",pritipatel,False,0,3,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
15,nwethantthant,Fri Mar 19 11:36:17 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
16,erecamargot,Fri Mar 19 11:36:08 +0000 2021,This may save a life. Please retweet and share this everywhere.  #shewaswalkinghome #SarahEverard #CurfewForwomen #curfe…,shewaswalkinghome SarahEverard CurfewForwomen,False,0,750,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
17,TnyeinK,Fri Mar 19 11:36:07 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
18,erecamargot,Fri Mar 19 11:35:47 +0000 2021,"Her name was Sarah and she deserved to be able to walk home that night. It was her right. 

#notallmenbutallwomen 

#Sa…",notallmenbutallwomen,False,0,99,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
19,CicelyMcWilliam,Fri Mar 19 11:35:38 +0000 2021,Waking up early to chat on a couple of CBC radio shows about the week that was a month from the #CallItFemicide report…,CallItFemicide,False,0,7,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
20,YuNandar8874312,Fri Mar 19 11:35:38 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
21,erecamargot,Fri Mar 19 11:35:31 +0000 2021,"Insecure men all over Twitter at the moment...

#notallmenbutallwomen #SarahEverard https://t.co/TIhTfxVGUI",notallmenbutallwomen SarahEverard,False,0,128,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
22,MNose1960,Fri Mar 19 11:35:28 +0000 2021,@BBCNews Not a single protest from the #SarahEverard crowd. Almost as if they don't care for some reason.,SarahEverard,False,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
23,ThetHni11625942,Fri Mar 19 11:34:24 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
24,MovingF04047339,Fri Mar 19 11:33:18 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
25,steven_copsey,Fri Mar 19 11:33:05 +0000 2021,We've had lots of conversations with our members about the best ways to support colleagues in the wake of #SarahEverard 's deat…,SarahEverard,False,0,2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
26,ITHERETWEETER1,Fri Mar 19 11:32:41 +0000 2021,New single 'She's Not Coming Home Tonight' is our response to the murder of #SarahEverard and is dedicated to all missin…,SarahEverard,False,0,4,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
27,SheriHiggins143,Fri Mar 19 11:32:41 +0000 2021,"'A woman should just be able to walk home without been murdered'

#SarahEverard ♥️♥️♥️ https://t.co/hnhtkFPXpU",SarahEverard,False,0,24,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
28,facesofclevedon,Fri Mar 19 11:32:08 +0000 2021,Fantastic @PiersSociety  so impressive #WESTON  @CultureWeston @TheatreOrchard @westoncollege @ThisIsWeston… https://t.co/j5EAxDlcmV,WESTON,False,0,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
29,RealPhatsBlog,Fri Mar 19 11:31:53 +0000 2021,"Police in England and Wales to record misogyny as a hate crime in wake of Sarah Everard murder
#Europe
#Britain… https://t.co/fgFWgXaQS2",Europe Britain,False,0,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
30,AmesEST19xx,Fri Mar 19 11:30:09 +0000 2021,Sums it up perfectly #TooManyWomen #notallmenbutallwomen #SarahEverard https://t.co/doy0jBjOOb,TooManyWomen notallmenbutallwomen SarahEverard,False,0,2938,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
31,StellaEi1,Fri Mar 19 11:29:40 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
32,Warrkation_,Fri Mar 19 11:29:37 +0000 2021,@SubzeroMobileDj @PatsyeStevenson You are what's wrong with the world. You see injustice and spew sexist garbage. W… https://t.co/rfzwQJeDPS,,False,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
33,alli69,Fri Mar 19 11:29:26 +0000 2021,"#SarahEverard me too was important... But now it needs to be #TooMany. Not all men??? Yeah, highlighting something… https://t.co/QFssQURILL",SarahEverard TooMany,False,1,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
34,NaingTw,Fri Mar 19 11:28:27 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
35,Addison_Barnett,Fri Mar 19 11:28:04 +0000 2021,We've had lots of conversations with our members about the best ways to support colleagues in the wake of #SarahEverard 's deat…,SarahEverard,False,0,2,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
36,moss4teeth,Fri Mar 19 11:27:22 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
37,TigerMimic,Fri Mar 19 11:26:08 +0000 2021,New single 'She's Not Coming Home Tonight' is our response to the murder of #SarahEverard and is dedicated to all missin…,SarahEverard,False,0,4,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
38,Wooden_MariaGO,Fri Mar 19 11:25:18 +0000 2021,"Green Goat Poetry here with a reading of her newest poem

""Its not all men..you know""

Please retweet , the written… https://t.co/e38bxAggSc",,False,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
39,Prunella99,Fri Mar 19 11:25:06 +0000 2021,When the two sisters where killed in a London park TWO !!! there was hardly any news coverage no #outrage  now it t… https://t.co/5PYvNZN3JW,outrage,False,0,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
40,andrea_wiseman,Fri Mar 19 11:24:32 +0000 2021,Waking up early to chat on a couple of CBC radio shows about the week that was a month from the #CallItFemicide report…,CallItFemicide,False,0,7,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
41,tin_lue,Fri Mar 19 11:24:26 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
42,KhantsithuH,Fri Mar 19 11:24:01 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
43,ThetPai64270859,Fri Mar 19 11:23:56 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
44,Mister_Phyo,Fri Mar 19 11:23:43 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
45,phyuhnin_11,Fri Mar 19 11:23:04 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
46,THUNANDARTIN,Fri Mar 19 11:22:55 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
47,Ciocia,Fri Mar 19 11:22:28 +0000 2021,Waking up early to chat on a couple of CBC radio shows about the week that was a month from the #CallItFemicide report…,CallItFemicide,False,0,7,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",
48,SoeWindia,Fri Mar 19 11:20:55 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
49,garbopress,Fri Mar 19 11:20:18 +0000 2021,#ReclaimTheStreets: #SarahEverard’s kidnapper &amp; murderer is a serving police officer who lured her into his car using his p…,ReclaimTheStreets SarahEverard,False,0,0,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",
50,St_Cadburys,Fri Mar 19 11:19:21 +0000 2021,"I have a day's leave today, so we went for a walk along the river. Went to see the flowers at the Cathedral that have be…",,False,0,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
51,ShadesofPemberl,Fri Mar 19 11:17:38 +0000 2021,Waking up early to chat on a couple of CBC radio shows about the week that was a month from the #CallItFemicide report…,CallItFemicide,False,0,7,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
52,SweThiri2,Fri Mar 19 11:17:30 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
53,KaungKyle,Fri Mar 19 11:17:01 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
54,NangSeinSinMya2,Fri Mar 19 11:16:11 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
55,Pipgulasdream,Fri Mar 19 11:16:10 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
56,haymon76098808,Fri Mar 19 11:14:12 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
57,PyaySoeAung5,Fri Mar 19 11:14:02 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",
58,ashdlyee,Fri Mar 19 11:13:53 +0000 2021,"97%. Meaning most, if not all of the women in your life have been sexually harassed. Every single women I know has their o…",,False,0,346,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
59,shallisaw,Fri Mar 19 11:13:41 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
60,SaiAung45385617,Fri Mar 19 11:13:34 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
61,jasmineliangco,Fri Mar 19 11:12:44 +0000 2021,"97%. Meaning most, if not all of the women in your life have been sexually harassed. Every single women I know has their o…",,False,0,346,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
62,chaisomsom,Fri Mar 19 11:11:24 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
63,stableoo,Fri Mar 19 11:11:21 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
64,riseuptigray,Fri Mar 19 11:10:33 +0000 2021,#WeaponizedRape and gender based violence explained by @OmnaTigray #SGBV #metoo #TigrayMothers #MothersDay… https://t.co/haFvA9XNuv,WeaponizedRape SGBV metoo TigrayMothers MothersDay,False,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
65,riseuptigray,Fri Mar 19 11:10:26 +0000 2021,"“...Disturbing reports of individuals allegedly forced to rape members of their own family, under threats of immine… https://t.co/lYhJQNPTGP",,False,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
66,Grassmonster3,Fri Mar 19 11:09:54 +0000 2021,1/ Met Deputy Chief Stephen House today criticised @SistersUncut and the #SarahEverard vigil for sharing what to do when faced…,SarahEverard,False,0,183,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
67,Smile1234519,Fri Mar 19 11:09:41 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
68,simrangaheer34,Fri Mar 19 11:09:29 +0000 2021,he was a police officer and she was walking home. #SarahEverard https://t.co/oVCj1b2Mr8,SarahEverard,False,0,77,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
69,MaPhyuPZS,Fri Mar 19 11:08:45 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
70,lisabjurwald,Fri Mar 19 11:08:39 +0000 2021,"""Telling women (...) that they live in a dangerous world where the only thing keeping them safe is the police 'prom… https://t.co/bSCetmYCZV",,False,1,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
71,aurumhero,Fri Mar 19 11:08:19 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
72,v1nn7e,Fri Mar 19 11:07:41 +0000 2021,"For y’all exhausted, I’m feelin ya 👊🏽🙏🏽💝

#SarahEverard
#WomenIn2021

@chicksforclimate https://t.co/PoGQIsOS1y",SarahEverard WomenIn2021,False,0,34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
73,IncEmp,Fri Mar 19 11:07:40 +0000 2021,We've had lots of conversations with our members about the best ways to support colleagues in the wake of… https://t.co/AcEzMKztQR,,False,0,2,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
74,BathforEurope,Fri Mar 19 11:06:39 +0000 2021,"@Jeni84977722 The danger is that #pritipatel has simply been clever enough to delay until April, when the tragedy of #Sa…",pritipatel,False,0,3,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
75,HtutAmy,Fri Mar 19 11:06:19 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
